close,date,high,low,open,quoteVolume,volume,weightedAverage
0.099,2015-02-17 02:00:00,0.099,0.01,0.01,12.2630202,0.99999999,0.08154597
0.099,2015-02-17 04:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 06:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 08:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 10:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 12:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 14:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 16:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 18:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 20:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-17 22:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 00:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 02:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 04:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 06:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 08:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 10:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 12:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 14:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 16:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 18:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 20:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-18 22:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 00:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 02:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 04:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 06:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 08:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 10:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 12:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 14:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 16:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.099,2015-02-19 18:00:00,0.099,0.099,0.099,0.0,0.0,0.099
0.26,2015-02-19 20:00:00,0.35,0.08859999,0.08859999,171.26271733,41.33539834,0.24135666
0.26000001,2015-02-19 22:00:00,0.26000001,0.26000001,0.26000001,0.00168322,0.00043763,0.26000001
0.26000001,2015-02-20 00:00:00,0.26000001,0.26000001,0.26000001,0.0,0.0,0.26000001
0.26000001,2015-02-20 02:00:00,0.26000001,0.26000001,0.26000001,0.3,0.078,0.26000001
0.26000001,2015-02-20 04:00:00,0.26000001,0.26000001,0.26000001,0.0,0.0,0.26000001
0.26000001,2015-02-20 06:00:00,0.26000001,0.26000001,0.26000001,0.0,0.0,0.26000001
0.26,2015-02-20 08:00:00,0.26000001,0.26,0.26000001,109.95998872,28.58959716,0.26
0.25,2015-02-20 10:00:00,0.25,0.25,0.25,0.63026541,0.15756635,0.25
0.25,2015-02-20 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-20 14:00:00,0.25,0.25,0.25,0.06950499,0.01737624,0.25
0.25,2015-02-20 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-20 18:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-20 20:00:00,0.25,0.25,0.25,0.01469741,0.00367435,0.25
0.25,2015-02-20 22:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 02:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 06:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 08:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 10:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 14:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 18:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 20:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-21 22:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-22 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-22 02:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-22 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.25,2015-02-22 06:00:00,0.25,0.25,0.25,0.0,0.0,0.25
0.32,2015-02-22 08:00:00,0.32,0.27,0.27,14.75851639,4.44512305,0.30119037
0.32,2015-02-22 10:00:00,0.32,0.32,0.32,0.0,0.0,0.32
0.32,2015-02-22 12:00:00,0.32,0.32,0.32,0.0,0.0,0.32
0.32,2015-02-22 14:00:00,0.32,0.32,0.32,0.0,0.0,0.32
0.32,2015-02-22 16:00:00,0.32,0.32,0.32,0.0,0.0,0.32
0.32,2015-02-22 18:00:00,0.32,0.32,0.32,0.0,0.0,0.32
0.32,2015-02-22 20:00:00,0.32,0.32,0.32,0.0,0.0,0.32
0.295,2015-02-22 22:00:00,0.295,0.29,0.29,24.57106438,7.19703633,0.29290698
0.295,2015-02-23 00:00:00,0.32,0.295,0.31699999,124.56196972,39.80238564,0.31953882
0.33,2015-02-23 02:00:00,0.33,0.33,0.33,21.0,6.93,0.33
0.33,2015-02-23 04:00:00,0.33,0.33,0.33,0.0,0.0,0.33
0.295,2015-02-23 06:00:00,0.295,0.295,0.295,0.2,0.059,0.295
0.295,2015-02-23 08:00:00,0.295,0.295,0.295,0.0,0.0,0.295
0.295,2015-02-23 10:00:00,0.295,0.295,0.295,0.0,0.0,0.295
0.295,2015-02-23 12:00:00,0.295,0.295,0.295,0.0,0.0,0.295
0.295,2015-02-23 14:00:00,0.295,0.295,0.295,0.0,0.0,0.295
0.295,2015-02-23 16:00:00,0.295,0.295,0.295,0.0,0.0,0.295
0.35,2015-02-23 18:00:00,0.35,0.35,0.35,5.04044159,1.76415455,0.35
0.35,2015-02-23 20:00:00,0.35,0.35,0.35,0.0,0.0,0.35
