,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,0.25,2015-02-20 11:00:00,0.25,0.25,0.25,0.0,0.0,0.25
1,0.25,2015-02-20 13:00:00,0.25,0.25,0.25,0.0,0.0,0.25
2,0.25,2015-02-20 14:00:00,0.25,0.25,0.25,0.06950499,0.01737624,0.25
3,0.25,2015-02-20 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
4,0.25,2015-02-20 18:00:00,0.25,0.25,0.25,0.0,0.0,0.25
5,0.25,2015-02-20 20:00:00,0.25,0.25,0.25,0.01469741,0.00367435,0.25
6,0.25,2015-02-20 22:00:00,0.25,0.25,0.25,0.0,0.0,0.25
7,0.25,2015-02-21 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
8,0.25,2015-02-21 02:00:00,0.25,0.25,0.25,0.0,0.0,0.25
9,0.25,2015-02-21 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
10,0.25,2015-02-21 06:00:00,0.25,0.25,0.25,0.0,0.0,0.25
11,0.25,2015-02-21 08:00:00,0.25,0.25,0.25,0.0,0.0,0.25
12,0.25,2015-02-21 10:00:00,0.25,0.25,0.25,0.0,0.0,0.25
13,0.25,2015-02-21 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
14,0.25,2015-02-21 14:00:00,0.25,0.25,0.25,0.0,0.0,0.25
15,0.25,2015-02-21 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
16,0.25,2015-02-21 18:00:00,0.25,0.25,0.25,0.0,0.0,0.25
17,0.25,2015-02-21 20:00:00,0.25,0.25,0.25,0.0,0.0,0.25
18,0.25,2015-02-21 22:00:00,0.25,0.25,0.25,0.0,0.0,0.25
19,0.25,2015-02-22 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
20,0.25,2015-02-22 02:00:00,0.25,0.25,0.25,0.0,0.0,0.25
21,0.25,2015-02-22 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
22,0.25,2015-02-22 06:00:00,0.25,0.25,0.25,0.0,0.0,0.25
23,0.32,2015-02-22 08:00:00,0.32,0.27,0.27,14.75851639,4.44512305,0.30119037
24,0.32,2015-02-22 10:00:00,0.32,0.32,0.32,0.0,0.0,0.32
25,0.32,2015-02-22 12:00:00,0.32,0.32,0.32,0.0,0.0,0.32
26,0.32,2015-02-22 14:00:00,0.32,0.32,0.32,0.0,0.0,0.32
27,0.32,2015-02-22 16:00:00,0.32,0.32,0.32,0.0,0.0,0.32
28,0.32,2015-02-22 18:00:00,0.32,0.32,0.32,0.0,0.0,0.32
29,0.32,2015-02-22 20:00:00,0.32,0.32,0.32,0.0,0.0,0.32
30,0.295,2015-02-22 22:00:00,0.295,0.29,0.29,24.57106438,7.19703633,0.29290698
31,0.295,2015-02-23 00:00:00,0.32,0.295,0.31699999,124.56196972,39.80238564,0.31953882
32,0.33,2015-02-23 02:00:00,0.33,0.33,0.33,21.0,6.93,0.33
33,0.33,2015-02-23 04:00:00,0.33,0.33,0.33,0.0,0.0,0.33
34,0.295,2015-02-23 06:00:00,0.295,0.295,0.295,0.2,0.059000000000000004,0.295
35,0.295,2015-02-23 08:00:00,0.295,0.295,0.295,0.0,0.0,0.295
36,0.295,2015-02-23 10:00:00,0.295,0.295,0.295,0.0,0.0,0.295
37,0.295,2015-02-23 12:00:00,0.295,0.295,0.295,0.0,0.0,0.295
38,0.295,2015-02-23 14:00:00,0.295,0.295,0.295,0.0,0.0,0.295
39,0.295,2015-02-23 16:00:00,0.295,0.295,0.295,0.0,0.0,0.295
40,0.35,2015-02-23 18:00:00,0.35,0.35,0.35,5.04044159,1.76415455,0.35
41,0.35,2015-02-23 20:00:00,0.35,0.35,0.35,0.0,0.0,0.35
42,0.35,2015-02-23 22:00:00,0.35,0.35,0.35,3.95955841,1.38584544,0.35
43,0.38,2015-02-24 00:00:00,0.38,0.38,0.38,2.46549156,0.93688679,0.38
44,0.38,2015-02-24 02:00:00,0.38,0.38,0.38,0.0,0.0,0.38
45,0.38,2015-02-24 04:00:00,0.38,0.38,0.38,0.0,0.0,0.38
46,0.38,2015-02-24 06:00:00,0.38,0.38,0.38,0.0,0.0,0.38
47,0.25,2015-02-24 08:00:00,0.25000001,0.25,0.25000001,4.00254824,1.00063706,0.25
48,0.25,2015-02-24 10:00:00,0.25,0.25,0.25,0.0,0.0,0.25
49,0.25,2015-02-24 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
50,0.25,2015-02-24 14:00:00,0.25,0.25,0.25,0.0,0.0,0.25
51,0.25,2015-02-24 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
52,0.25,2015-02-24 18:00:00,0.25,0.25,0.25,0.0,0.0,0.25
53,0.25,2015-02-24 20:00:00,0.25,0.25,0.25,0.0,0.0,0.25
54,0.25,2015-02-24 22:00:00,0.25,0.25,0.25,0.0,0.0,0.25
55,0.25,2015-02-25 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
56,0.25,2015-02-25 02:00:00,0.25,0.25,0.25,0.0,0.0,0.25
57,0.25,2015-02-25 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
58,0.25,2015-02-25 06:00:00,0.25,0.25,0.25,0.0,0.0,0.25
59,0.25,2015-02-25 08:00:00,0.25,0.25,0.25,0.0,0.0,0.25
60,0.25,2015-02-25 10:00:00,0.25,0.25,0.25,0.0,0.0,0.25
61,0.25,2015-02-25 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
62,0.25,2015-02-25 14:00:00,0.25,0.25,0.25,0.0,0.0,0.25
63,0.25000101,2015-02-25 16:00:00,0.25000101,0.25000101,0.25000101,0.00109803,0.0002745,0.25000101
64,0.25000101,2015-02-25 18:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
65,0.25000101,2015-02-25 20:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
66,0.25000101,2015-02-25 22:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
67,0.25000101,2015-02-26 00:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
68,0.25000101,2015-02-26 02:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
69,0.25000101,2015-02-26 04:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
70,0.25000101,2015-02-26 06:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
71,0.379999,2015-02-26 08:00:00,0.379999,0.379999,0.379999,0.00072095,0.00027396,0.379999
72,0.25000111,2015-02-26 10:00:00,0.25000111,0.25000111,0.25000111,0.11676063,0.02919028,0.25000111
73,0.25000111,2015-02-26 12:00:00,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
74,0.37999,2015-02-26 14:00:00,0.37999,0.25000101,0.25000101,0.13679758,0.05126708,0.374766
75,0.25000101,2015-02-26 16:00:00,0.25000101,0.25000101,0.25000101,0.00867683,0.00216921,0.25000101
76,0.25000101,2015-02-26 18:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
77,0.25000101,2015-02-26 20:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
