close,date,high,low,open,quoteVolume,volume,weightedAverage
0.02499665,2015-02-20 20:00:00,0.02499665,0.02499665,0.02499665,0.14669966,0.003667,0.02499665
0.02499665,2015-02-21 00:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-21 04:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-21 08:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-21 12:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-21 16:00:00,0.02499665,0.02499665,0.02499665,0.54419892,0.01360314,0.02499665
0.02499665,2015-02-21 20:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-22 00:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-22 04:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-22 08:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-22 12:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-22 16:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-22 20:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-23 00:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-23 04:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-23 08:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-23 12:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-23 16:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-23 20:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-24 00:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-24 04:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-24 08:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-24 12:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-24 16:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-24 20:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-25 00:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-25 04:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-25 08:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-25 12:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-25 16:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-25 20:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-26 00:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-26 04:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
0.02499665,2015-02-26 08:00:00,0.02499665,0.02499665,0.02499665,0.0,0.0,0.02499665
