,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,9.99999666,2015-02-20 11:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
1,9.99999666,2015-02-20 13:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
2,9.99999666,2015-02-20 15:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
3,9.99999666,2015-02-20 17:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
4,9.99999666,2015-02-20 19:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
5,9.99999666,2015-02-20 21:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
6,9.99999666,2015-02-20 23:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
7,9.99999666,2015-02-21 01:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
8,9.99999666,2015-02-21 03:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
9,9.99999666,2015-02-21 05:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
10,9.99999666,2015-02-21 07:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
11,9.99999666,2015-02-21 09:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
12,9.99999666,2015-02-21 11:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
13,9.99999666,2015-02-21 13:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
14,9.99999666,2015-02-21 15:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
15,9.99999666,2015-02-21 17:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
16,9.99999666,2015-02-21 19:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
17,9.99999666,2015-02-21 21:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
18,9.99999666,2015-02-21 23:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
19,9.99999666,2015-02-22 01:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
20,9.99999666,2015-02-22 03:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
21,9.99999666,2015-02-22 05:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
22,9.99999666,2015-02-22 07:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
23,9.99999666,2015-02-22 09:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
24,9.99999666,2015-02-22 11:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
25,9.99999666,2015-02-22 13:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
26,9.99999666,2015-02-22 15:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
27,9.99999666,2015-02-22 17:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
28,9.99999666,2015-02-22 19:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
29,9.99999666,2015-02-22 21:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
30,9.99999666,2015-02-22 23:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
31,9.99999666,2015-02-23 01:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
32,9.99999666,2015-02-23 03:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
33,9.99999666,2015-02-23 05:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
34,9.99999666,2015-02-23 07:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
35,9.99999666,2015-02-23 09:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
36,9.99999666,2015-02-23 11:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
37,9.99999666,2015-02-23 13:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
38,9.99999666,2015-02-23 15:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
39,9.99999666,2015-02-23 17:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
40,9.99999666,2015-02-23 19:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
41,9.99999666,2015-02-23 21:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
42,9.99999666,2015-02-23 23:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
43,9.99999666,2015-02-24 01:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
44,9.99999666,2015-02-24 03:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
45,9.99999666,2015-02-24 05:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
46,9.99999666,2015-02-24 07:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
47,9.99999666,2015-02-24 09:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
48,9.99999666,2015-02-24 11:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
49,9.99999666,2015-02-24 13:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
50,9.99999666,2015-02-24 15:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
51,9.99999666,2015-02-24 17:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
52,9.99999666,2015-02-24 19:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
53,9.99999666,2015-02-24 21:00:00,9.99999666,9.99999666,9.99999666,0.0,0.0,9.99999666
54,2.89999666,2015-02-24 22:00:00,2.89999666,2.89999666,2.89999666,0.007698,0.02232417,2.89999666
55,2.89999666,2015-02-25 00:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
56,2.89999666,2015-02-25 02:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
57,2.89999666,2015-02-25 04:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
58,2.89999666,2015-02-25 06:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
59,2.89999666,2015-02-25 08:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
60,2.89999666,2015-02-25 10:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
61,2.89999666,2015-02-25 12:00:00,2.89999666,2.89999666,2.89999666,0.0,0.0,2.89999666
